repo,subset,split,row_id,prompt_hash,prompt_len,completion_len,annotation_source,n_annotations,n_valid_spans,n_invalid_spans
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,0,baddfe28bb28846fcb5156789de26e4a,201,1905,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,1,c15b0d55586f7dc173964f9187228805,179,3867,annotations,12,12,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,2,23645cf610b3fad7460262778888df7d,29,1961,annotations,12,12,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,3,ac523b033608f884b481f973818788c2,55,1218,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,4,7ed8b85a474492a49b9852536874a0ed,207,2796,annotations,19,19,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,5,ac9fe63c92ab0ee296154dddc695d0ea,63,1192,annotations,6,6,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,6,d92ea7e45490b9b176ab17d2ccdc2a6a,24,1574,annotations,19,19,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,7,6c9eeaaae32b0b7bc5487e552f3329b3,287,3304,annotations,22,22,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,8,0314e8d2caccd5a1b7d4a5868a865e41,286,3780,annotations,17,17,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,9,8fd081385f2cd89bff561d1156ab7349,74,1890,annotations,0,0,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,10,adb2d6958ba4b8c5fce248e5d22d3866,85,6472,annotations,2,2,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,11,dafd72fd3add4742ad323c99365552b6,64,2501,annotations,0,0,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,12,226a45658336040ec8ccdbf51e54628e,78,638,annotations,1,1,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,13,17c64810e7e02897481e9a349922c611,76,1685,annotations,1,1,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,14,cfb5524985ea251594560b6337942065,54,2601,annotations,3,3,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,15,492baff2b989913f5d63c800bb74da2a,212,6680,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,16,9b31f4c34e648c8ded49111c1dcb3a0e,427,3720,annotations,1,1,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,17,4cc4042195d55bc4b61b885b429b720c,26,2561,annotations,2,2,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,18,5c979bf9ff4a47da2420826f53b8e1ec,323,3501,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,19,2c0003ddd4b295caaf9e07ad17078d92,65,3168,annotations,4,4,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,20,f1828ad6ac3d446f35d768e69c149aa7,67,1693,annotations,2,2,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,21,99f85850b31ecb386e130231a8322efb,61,2529,annotations,3,3,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,22,88ea97e75e13dab4649f32d3195e8930,35,1378,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,23,0bac1e353ff7e79e27686722cb75fcba,339,4793,annotations,2,2,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,24,2a6dd06c1f26e79a4b9acfa98acb0376,42,1629,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,25,5f2b0fc6a720341397d9ce8ea6b0a93d,296,3543,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,26,9033d530b33ec12abf6027a2882baf03,276,1858,annotations,4,4,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,27,702197eaebe29cf6d774bc3d21d3cd2e,67,1343,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,28,69eda057da0b5e56e45badb62bdedfc6,389,3120,annotations,4,4,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,29,2269f2f79c7369acd6a4c6fd7ac48699,299,3793,annotations,4,4,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,30,47e0e72b6461b46b059edeee878c7ae9,47,2372,annotations,4,4,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,31,c921e098310d07b5ef97f9af6b12979b,77,2532,annotations,3,3,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,32,026caf668ea86dc7968188e578a8c04e,285,2151,annotations,4,4,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,33,7364a18cae1a92ade46bb83b05d0946a,66,1395,annotations,6,6,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,34,d00e80f8444ab9029865720a9b63482b,54,1198,annotations,6,6,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,35,a172193e4b8c54f4d9b5d4b5dbc49a6e,76,2217,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,36,d1ea15a802b13d8787f2d22e195c624a,28,1720,annotations,8,8,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,37,426491e5b91bcf3397646a7d5abef08e,53,1665,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,38,022b3d748f44cbdab35f0e04f209ae5f,345,6117,annotations,3,1,2
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,39,6e54ae2bf929c6661b0a948373acefb3,210,3076,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,40,1e189d1ff312660962a4e781d38c0060,323,4328,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,41,dc0d4bd7d1adbe18e5baa72bb7cb9260,367,5083,annotations,3,3,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,42,fb592969a96baa8da6fb6b918a54f8b2,421,3801,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,43,e0e5af2fd77321bccccbfff02f063ca4,69,2842,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,44,9048d83d9b6cea658a1c9c74f4c515a8,217,3670,annotations,6,6,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,45,4936175e61e01450226a18e51d8c7a7a,308,3628,annotations,9,9,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,46,89ea069ed500efdcf047df0c0159a26a,78,1691,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,47,a53a8cd993ac9d45f4576ef47542e238,35,1586,annotations,4,4,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,48,f2bbce1ce66accabc7262ec92b2f840c,44,421,annotations,5,4,1
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,49,627562de9e7780e3681cb576c4b57228,242,3893,annotations,8,8,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,50,284749b0ed302f9bf0e7f386be04a31d,60,1476,annotations,6,6,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,51,5136bd26e5b6264fa8c557ce0a068c05,260,3157,annotations,9,9,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,52,e357547dea6104142fc30533b03b89cd,393,2207,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,53,22ebe49ce72eed4e0971ee1c60402946,59,2362,annotations,4,4,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,54,2dd40720cbd034594a9d22084cd23bfc,79,1314,annotations,6,6,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,55,5624c12019ed30152553c152772ce6f6,21,539,annotations,9,9,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,56,ca9cff87c275e6d43442e3855a151276,106,1905,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,57,3a57c9170e97e7ad85e48384fd6b1f2a,71,1476,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,58,dd1a5422a9ff236105ddaca5ab2de4a4,259,2582,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,59,50d9228a11b9b7711cd23a348a723f87,75,1935,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,60,e226466ca9bae23fa202ad73d34eb5e8,250,1994,annotations,6,6,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,61,b445c89f7bc7e0c5050a319789179f55,181,2573,annotations,6,6,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,62,62001eac3bbce0b609a51c3be7003ac4,50,1323,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,63,e79bf428b5ba140fc9a96729db5bb250,45,1961,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,64,c2cb9f187fb7fb24d0423c62b839d231,65,1621,annotations,6,6,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,65,1be512fd5ac463a92a9a6d2ad218eb6a,46,431,annotations,3,3,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,66,bfcbe32dba471f7054ff1b429c859701,47,1312,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,67,c1c2dc267a59132ab5305d0c99a723e5,51,2063,annotations,4,4,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,68,acc0ecffc5250d8a76fdbd10db154af2,53,1767,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,69,f6594462a56311fb07249ec3b894d141,53,976,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,70,f09b3d2f42176c01a193f3408f578b2b,68,2127,annotations,9,9,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,71,1b8ffa3fbcdef41731bfaf4c91cad5b5,52,1931,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,72,6af8ff7fd13703e82b54288a3f20ad06,66,1526,annotations,4,4,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,73,5452047011faef005aa0be9f02164a18,82,1367,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,74,1b38bc3313e9b1d7f4d6eacb7c9d0f92,315,2660,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,75,15c915bdee429c626d1b0be625eff2c2,54,693,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,76,8f5a79a60ac5fb95ccd1000d248bc8d9,317,3520,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,77,4a87e305b872beb092e3651c8ca35a1d,345,2556,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,78,63e31295ba131d3e2a9ffacc9f38bf9d,45,1569,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,79,2ef5707dac52489886f0bc875321e6f4,52,972,annotations,9,9,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,80,99a68fefa72ac7c2bb8f74855acb0df9,55,84,annotations,1,1,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,81,fd3cabe13bd7872771660741d88b9ad6,255,4265,annotations,6,6,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,82,2e6031046a3cec88c8c900f7d70966fc,61,591,annotations,4,4,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,83,0885dde4357059cf1d7867f168ca121b,67,1583,annotations,8,8,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,84,eb70a64d377c7815c22c7906d2547954,81,1953,annotations,6,6,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,85,727982e85e71ace22839b234d65e2782,309,4104,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,86,73407f1ea9d81f1ff99800b9bf2fdc72,164,2633,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,87,30a9663030bff8c0fd84f557f3a7dd35,286,2290,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,88,d746f68d7d568c089987077d14fd6fe0,37,1789,annotations,7,7,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,89,279b688e7ffa585aa1645e846e8ac49f,60,1255,annotations,2,2,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,90,4ea416cb2c64a914f1701af4b3fee87d,418,5296,annotations,8,8,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,91,946fe8be3425ac0e4cedcd180762e8ac,254,2895,annotations,8,8,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,92,b2692a3616f53c7db0d7fb6b3a1d809f,103,4702,annotations,5,5,0
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,93,2c8cb193e11d9b99c1379a06ff9160db,356,2810,annotations,6,6,0
