repo,subset,split,rows,rows_empty_annotations,rows_no_valid_spans,rows_any_invalid_spans,spans_total,spans_per_row,spans_invalid,spans_invalid_rate,label_pos(1.0),label_neg(0.0),label_ignore(-100),label_unknown,completion_len_mean,completion_len_median,span_len_mean,span_len_median,span_len_p90,top_issue,top_issue_count
obalcells/longfact-augmented-annotations,Llama-3.3-70B-Instruct,test,934,0,0,167,14346,15.359743040685224,402,0.028021748222501044,3729,10215,402,0,3579.241970021413,3337.0,21.40150564617315,16.0,42.0,missing_or_nonint_index_and_span_not_found,402
obalcells/longfact-augmented-annotations,Llama-3.3-70B-Instruct,train,7959,0,9,1184,124108,15.59341625832391,2601,0.02095755309891385,31709,89789,2610,0,3890.236838798844,3735.0,20.724417442872337,16.0,41.0,missing_or_nonint_index_and_span_not_found,2601
obalcells/longfact-augmented-annotations,Meta-Llama-3.1-8B-Instruct,test,908,0,0,157,12932,14.242290748898679,486,0.03758119393751933,4674,7771,487,0,3564.6057268722466,3376.0,23.534565419115374,17.0,47.0,missing_or_nonint_index_and_span_not_found,486
obalcells/longfact-augmented-annotations,Meta-Llama-3.1-8B-Instruct,train,7919,0,8,1164,114322,14.436418739739866,2636,0.023057679186858172,40966,70709,2647,0,3687.190428084354,3474.0,22.432296495862563,16.0,45.0,missing_or_nonint_index_and_span_not_found,2636
obalcells/longfact-augmented-annotations,Mistral-Small-24B-Instruct-2501,test,922,0,0,215,12364,13.40997830802603,613,0.04957942413458428,2448,9303,613,0,3240.8590021691975,3290.5,20.962795211905533,16.0,41.0,missing_or_nonint_index_and_span_not_found,613
obalcells/longfact-augmented-annotations,Mistral-Small-24B-Instruct-2501,train,1534,0,3,286,21786,14.202086049543677,738,0.033874965574221975,3572,17473,741,0,3567.222294654498,3559.5,19.871247590195537,15.0,39.0,missing_or_nonint_index_and_span_not_found,738
obalcells/longfact-augmented-annotations,Qwen2.5-7B-Instruct,test,913,0,0,234,10806,11.835706462212487,689,0.06376087358874699,4165,5952,689,0,3357.591456736035,3395.0,23.89589117157135,17.0,47.0,missing_or_nonint_index_and_span_not_found,689
obalcells/longfact-augmented-annotations,Qwen2.5-7B-Instruct,train,1524,0,2,317,19258,12.636482939632545,866,0.04496832485200956,6447,11945,866,0,3782.1692913385828,3757.0,21.5965832381348,16.0,43.0,missing_or_nonint_index_and_span_not_found,866
obalcells/longfact-augmented-annotations,gemma-2-9b-it,test,819,0,1,189,8727,10.655677655677655,630,0.07218975592987281,2099,5997,631,0,2577.642246642247,2571.0,22.434857339291852,16.0,44.0,missing_or_nonint_index_and_span_not_found,630
obalcells/longfact-augmented-annotations,gemma-2-9b-it,train,1495,0,4,318,16356,10.940468227424748,791,0.048361457569087794,2887,12678,791,0,2836.8715719063543,2781.0,19.473771093176815,15.0,37.0,missing_or_nonint_index_and_span_not_found,791
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,test,1993,9,10,210,19143,9.60511791269443,480,0.025074439742986992,4452,14082,609,0,2987.0356246864026,2733.0,26.083999373139008,19.0,54.0,missing_or_nonint_index_and_span_not_found,480
tkwiecinski/longfact-test-split,Apertus_8B_Instruct_2509,train,17986,91,107,1932,172513,9.591515623262538,4258,0.02468219786334943,39477,127658,5378,0,3014.3889135994664,2778.5,25.663051480178307,19.0,52.0,missing_or_nonint_index_and_span_not_found,4258
tkwiecinski/longfact-test-split,Meta_Llama_3.1_8B_Instruct,test,1996,10,11,251,23522,11.784569138276552,678,0.028824079585069298,6108,16571,843,0,3915.310621242485,3708.0,25.710483802397754,19.0,50.0,missing_or_nonint_index_and_span_not_found,678
tkwiecinski/longfact-test-split,Meta_Llama_3.1_8B_Instruct,train,17959,73,97,2379,215298,11.988306698591236,6000,0.027868349915001533,54798,152933,7567,0,3917.5580488891364,3728.0,25.309896051054817,19.0,50.0,missing_or_nonint_index_and_span_not_found,6000
